2023-03-09 16:06:25,756 | MainThread   | [INFO    ] | _connect            |: Connected to c0:83:0c:66:2f:3c
2023-03-09 16:08:31,287 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:83:0C:66:2F:3C
2023-03-09 16:09:02,352 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:0c:66:2f:3c
2023-03-09 16:09:05,643 | MainThread   | [INFO    ] | _connect            |: Connected to c0:83:0c:66:2f:3c
2023-03-09 16:11:27,597 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:83:0C:66:2F:3C
2023-03-09 16:11:58,330 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:0c:66:2f:3c
2023-03-09 16:12:01,818 | MainThread   | [INFO    ] | _connect            |: Connected to c0:83:0c:66:2f:3c
2023-03-09 16:27:18,105 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:83:0C:66:2F:3C
2023-03-09 16:28:16,388 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:0c:66:2f:3c
2023-03-09 16:28:19,590 | MainThread   | [INFO    ] | _connect            |: Connected to c0:83:0c:66:2f:3c
2023-03-09 16:32:24,413 | MainThread   | [INFO    ] | _connect            |: Already connected to a BLE device
2023-03-09 16:35:38,782 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:83:0C:66:2F:3C
2023-03-09 16:37:02,639 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:0c:66:2f:3c
2023-03-09 16:37:05,916 | MainThread   | [INFO    ] | _connect            |: Connected to c0:83:0c:66:2f:3c
2023-03-09 16:39:05,162 | MainThread   | [INFO    ] | _connect            |: Already connected to a BLE device
2023-03-09 16:41:34,016 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:83:0C:66:2F:3C
2023-03-09 16:41:53,386 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:0c:66:2f:3c
2023-03-09 16:41:56,353 | MainThread   | [INFO    ] | _connect            |: Connected to c0:83:0c:66:2f:3c
2023-03-09 16:42:28,288 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:83:0C:66:2F:3C
2023-03-09 16:43:33,820 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:0c:66:2f:3c
2023-03-09 16:43:36,978 | MainThread   | [INFO    ] | _connect            |: Connected to c0:83:0c:66:2f:3c
2023-03-09 16:50:14,087 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:83:0C:66:2F:3C
2023-03-09 16:50:37,497 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:0c:66:2f:3c
2023-03-09 16:50:52,282 | MainThread   | [ERROR   ] | _connect            |: 
2023-03-09 16:50:53,285 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2023-03-09 16:50:53,288 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:0c:66:2f:3c
2023-03-09 16:51:01,662 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:0c:66:2f:3c
2023-03-09 16:52:15,622 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:0c:66:2f:3c
2023-03-09 16:52:18,800 | MainThread   | [INFO    ] | _connect            |: Connected to c0:83:0c:66:2f:3c
2023-03-09 16:54:03,456 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:83:0C:66:2F:3C
2023-03-09 16:54:17,052 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:0c:66:2f:3c
2023-03-09 16:54:20,977 | MainThread   | [INFO    ] | _connect            |: Connected to c0:83:0c:66:2f:3c
2023-03-09 16:55:09,877 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:83:0C:66:2F:3C
2023-03-09 16:56:26,311 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:0c:66:2f:3c
2023-03-09 16:56:29,641 | MainThread   | [INFO    ] | _connect            |: Connected to c0:83:0c:66:2f:3c
2023-03-09 16:57:20,785 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:83:0C:66:2F:3C
2023-03-09 16:57:39,929 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:0c:66:2f:3c
2023-03-09 16:57:42,715 | MainThread   | [ERROR   ] | _connect            |: [org.bluez.Error.Failed] le-connection-abort-by-local
2023-03-09 16:57:43,719 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2023-03-09 16:57:43,721 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:0c:66:2f:3c
2023-03-09 16:57:46,227 | MainThread   | [ERROR   ] | _connect            |: [org.bluez.Error.Failed] le-connection-abort-by-local
2023-03-09 16:57:47,230 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
